,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
429,CuCr0.98Mg0.02O2,Polycrystalline,Solid state reaction,166.0,0.119099,321.429,8.6749e-05,,,8.3964,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
430,Ca0.98Bi0.02Mn0.98Nb0.02O3,Polycrystalline,Solid state reaction,62.0,0.025914331,-184.31,0.00013108,0.048845628,1.87848,38.589,700.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
431,Zr0.15Hf0.15Ti0.7NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.0048146,-252.204,0.0013211,0.116775879,3.394,207.7,300.0,http://dx.doi.org/10.1063/1.1868063
432,Bi90Sb10,Polycrystalline,"Melted, vacuum",166.0,0.000180761,-68.5,0.0025965,,,5532.2,400.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
433,NaCo2O4,Single crystal,"Flux (NaCl), air",194.0,0.000484,146.0,0.0044014,0.540286341,5.7025,2064.8,700.0,http://dx.doi.org/10.1143/JJAP.40.4644
434,Li0.0242Ni0.9758O,Polycrystalline,Solid state reaction,225.0,0.004865541,77.37,0.00012304,0.024636562,3.49599,205.53,700.0,http://dx.doi.org/10.1143/JJAP.38.L1336
435,Zr0.94Y0.06NiSn0.96Sb0.04,Polycrystalline,"Arc melted, Ar",216.0,0.000771,-92.0,0.0010978,0.039441739,8.35,1297.0,300.0,http://dx.doi.org/10.1016/j.jallcom.2006.02.075
436,La3Te3.35Sb0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00687,-221.2,0.00071222,0.721599719,0.987,145.56,1000.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
437,Li0.0024Ni0.9976O,Polycrystalline,Solid state reaction,225.0,0.046604403,262.41,0.00014775,0.017497599,8.44401,21.457,1000.0,http://dx.doi.org/10.1143/JJAP.38.L1336
438,Mg2Si,Polycrystalline,"Melted, Ar",225.0,0.001623,-89.0,0.00048805,0.032536455,4.5,616.14,300.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
439,Sr0.95La0.05TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.009176669,-251.0,0.00068653,,,108.97,700.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
440,Ba8Au5.14Si39.51,Polycrystalline,"Melted, inert",223.0,0.0033,-102.0,0.00031527,0.05085044,1.86,303.03,300.0,http://dx.doi.org/10.1063/1.3682585
441,Pr0.5Ca0.5MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.0552875,-22.2738,8.9735e-07,,,18.087,300.0,http://dx.doi.org/10.1063/1.1687532
442,La2.99Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.00061,-41.6,0.0002837,0.043562128,2.605,1639.3,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
443,La0.45Ca2.55Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.01759148,131.717,9.8624e-05,,,56.846,1000.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
444,WO3,Polycrystalline,Solid state reaction,2.0,108.4818721,124.826,1.4363e-08,,,0.0092181,700.0,http://dx.doi.org/10.1007/s10854-011-0574-8
445,Mo3Te4,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000715,16.5599,3.8354e-05,0.006030526,4.45197,1398.6,700.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
446,La0.3Ca2.7Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.038675593,68.4692,1.2121e-05,,,25.856,400.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
447,ZnO,Polycrystalline,"Solid state reaction, air",186.0,2.97,-436.926,6.4278e-06,0.000749156,8.58,21.029,1000.0,http://dx.doi.org/10.1039/A602506D
448,Ca0.9Tb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00831725,-124.55,0.00018652,0.0829136,1.574660559,120.23,700.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
449,Bi1.2S1.2Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.000948,-89.12,0.0008378,0.277944192,2.11,1054.9,700.0,http://dx.doi.org/10.3390/ma3042606
450,W0.99O2.97Co0.02O0.03,Polycrystalline,Solid state reaction,2.0,36.42867811,113.937,3.5636e-08,,,0.027451,1000.0,http://dx.doi.org/10.1007/s10854-011-0574-8
451,Zn0.97Al0.03O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0214735,-149.839,0.00010456,,,46.569,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
452,Nd2CuO4,Polycrystalline,"Solid state reaction, air",139.0,2.91889,-752.2,1.9384e-05,0.00019646,29.6,0.3426,300.0,http://dx.doi.org/10.1002/chin.200318015
453,Zn0.9604Al0.0196Ni0.02O,Polycrystalline,Solid state reaction,186.0,37.21622627,-362.53,3.5315e-07,0.0,12.5327,0.02687,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
454,Nd1.4Bi0.6Ru2O7,Polycrystalline,Solid state reaction,227.0,0.00203743,39.96,7.8364e-05,,,490.81,1000.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
455,La0.95Sr0.05CoO3,Polycrystalline,Solid state reaction,15.0,0.000831764,14.8,2.6334e-05,,,1202.3,1000.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
456,La1.9Sr0.1CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.00381517,50.0,6.5528e-05,,,262.11,400.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
457,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00552975,265.993,0.0012795,0.152467292,8.39186,180.84,1000.0,http://dx.doi.org/10.1109/ICT.2006.331289
458,ZrNi0.76Co0.004Cu0.2Sn,Polycrystalline,"Arc melted, Ar",216.0,0.00695,-130.0,0.00024317,0.018352111,5.3,143.88,400.0,http://dx.doi.org/10.1016/j.jallcom.2004.02.061
459,CaYb0.4Mn0.6O3,Polycrystalline,Solid state reaction,62.0,0.0120812,-20.028,3.3202e-06,,,82.773,400.0,http://dx.doi.org/10.1109/ICT.2006.331291
460,Ca3Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.045864406,50.1234,5.4778e-06,,,21.803,300.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
461,In0.25Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00113947,-217.11,0.0041366,0.485042171,2.55853,877.6,300.0,http://dx.doi.org/10.1021/cm052055b
462,Ba8Ga16Ge30,Single crystal,"Czochralski method, He",223.0,0.00076,-55.98,0.00041234,0.101186968,1.63,1315.8,400.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
463,SrNb0.15Ti0.85O3,Polycrystalline,"Solid state reaction, Ar",221.0,5.017057997,-39.5353,3.1155e-08,1.58952e-06,5.88,0.19932,300.0,http://dx.doi.org/10.1016/j.jallcom.2010.06.195
464,YBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.0019954,15.44,1.1951e-05,,,502.28,400.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
465,Zr0.94Y0.06NiSn0.96Sb0.04,Polycrystalline,"Arc melted, Ar",216.0,0.000788,-109.0,0.0015077,0.092641543,6.51,1269.0,400.0,http://dx.doi.org/10.1016/j.jallcom.2006.02.075
466,Zn0.99Al0.01O,Polycrystalline,"Solid state reaction, air",186.0,0.002754229,-178.859,0.0011615,0.00783126,44.495,311.9,300.0,http://dx.doi.org/10.1039/A602506D
467,La0.8Sr0.2CoO3,Polycrystalline,Solid state reaction,15.0,0.000467735,21.32,9.7179e-05,0.00788839,3.69579,2138.0,300.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
468,NiO,Polycrystalline,Solid state reaction,225.0,152.9285824,483.47,1.5285e-07,,,0.006539,700.0,http://dx.doi.org/10.1143/JJAP.38.L1336
469,CaGd0.98Mn0.02O3,Polycrystalline,Co-precipitation,62.0,0.027541002,-215.39,0.00016844,,,36.31,400.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
470,SrNd0.17Ti0.83O3,Polycrystalline,"Solid state reaction, air",221.0,0.0041841,-141.8,0.00048056,0.141466893,3.397,239.0,1000.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
471,CuCr0.95Mg0.05O2,Polycrystalline,"Solid state reaction, air",166.0,0.0406648,281.605,0.00019501,0.0168798,8.0871,24.591,700.0,http://dx.doi.org/10.1109/ICT.2006.331288
472,CeFe4Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00105643,87.0227,0.00071684,,,946.58,400.0,http://www.jstor.org/stable/2889796
473,SrNd0.2Ti0.8O3,Polycrystalline,"Solid state reaction, air",221.0,0.003952569,-140.0,0.00049588,0.155117618,3.1968,253.0,1000.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
474,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.103099,-362.325,0.00012733,0.041301192,2.15813,9.6994,700.0,http://dx.doi.org/10.1109/ICT.2006.331291
475,Ba8Ga16Ge30,Polycrystalline,Arc melting,223.0,0.00625,289.0,0.0013363,0.668168,2.0,160.0,1000.0,http://dx.doi.org/10.1109/ICT.2002.1190269
476,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00164,99.7,0.0006061,,,609.76,300.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
477,CeFe2Co2Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00325,166.0,0.00084788,,,307.69,700.0,http://dx.doi.org/10.1109/ICT.1996.553263
478,Na0.02Pb0.98Te0.85Se0.15,Polycrystalline,Melted,225.0,0.000413223,50.95,0.00062827,0.062528934,3.01429,2420.0,300.0,http://dx.doi.org/10.1038/nature09996
479,Mg2Si0.9985Bi0.0015,Polycrystalline,"Mechanochemical, Ar",225.0,0.000902,-149.0,0.0024613,0.194186052,5.07,1108.6,400.0,http://dx.doi.org/10.1039/C1JM10827A
480,SrNd0.17Ti0.83O3,Polycrystalline,"Solid state reaction, air",221.0,0.001926782,-42.2,9.2426e-05,0.006910325,5.35,519.0,400.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
481,Bi86Sb14,Polycrystalline,"Melted, vacuum",166.0,0.000292608,-69.1,0.0016319,,,3417.5,400.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
482,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, Ar",140.0,0.002564103,-164.9,0.0010605,0.337735156,3.14,390.0,1000.0,http://dx.doi.org/10.1063/1.3117943
483,Zr0.98Nb0.02NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.00087395,-193.681,0.0042923,0.465705367,6.4517,1144.2,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
484,Zn0.97Al0.03O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0213949,-144.866,9.809e-05,,,46.74,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
485,Ca2.85Na0.15AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0125,243.0,0.00047239,0.694694118,0.68,80.0,1000.0,http://dx.doi.org/10.1039/c0ee00517g
486,Nd2Cu0.98Ni0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.038248,-182.68,8.7248e-05,0.00434609,8.03,26.145,400.0,http://dx.doi.org/10.1002/chin.200318015
487,Ca2.85Na0.15AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0275,112.6,4.6105e-05,0.008698978,1.59,36.364,300.0,http://dx.doi.org/10.1039/c0ee00517g
488,Mg2Si,Polycrystalline,"Bridgman method, Ar-H gas",225.0,0.001218,-178.0,0.0026013,0.107640564,7.25,821.02,300.0,http://dx.doi.org/10.1016/j.jcrysgro.2006.10.270
489,Tl0.02Pb0.98Te,Polycrystalline,Melted,225.0,0.00239394,136.17,0.00077455,0.107163649,2.16832,417.72,300.0,http://dx.doi.org/10.1126/science.1159725
490,Ba0.6Sr0.4PbO3,Polycrystalline,Solid state reaction (under oxygen),62.0,0.00127204,-51.37,0.00020742,0.035093259,2.36416,786.14,400.0,http://dx.doi.org/10.1023/A:1018515223271
491,Fe0.998Co0.002Si2,Polycrystalline,"Arc-melted, Ar",64.0,0.0475,-191.0,7.6802e-05,0.00404932,5.69,21.053,300.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
492,Sr0.8La0.2TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.00119206,-113.0,0.0010712,,,838.88,700.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
493,Ca0.9Nd0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0174057,-123.85,8.8121e-05,0.02553619,2.41558,57.452,700.0,http://dx.doi.org/10.1063/1.2362922
494,Ca0.9In0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.214993195,-348.389,5.6455e-05,,,4.6513,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
495,CuRhO2,Polycrystalline,"Solid state reaction, air",166.0,0.5868,294.8,1.481e-05,,,1.7042,300.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
496,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, air",221.0,0.004618298,-63.5492,8.7446e-05,0.003295691,7.96,216.53,300.0,http://orbit.dtu.dk/en/publications/improvement-of-niobium-doped-srtio3-by-nanostructuring(2b6f4b33-1a6f-4472-ac18-6996f91cd743).html
497,Sr2Ti0.8Nb0.2O4,Polycrystalline,"Solid state reaction, Ar",221.0,0.005668934,-67.6,8.0611e-05,0.008981679,3.59,176.4,400.0,http://dx.doi.org/10.1063/1.3117943
498,Ag0.15Sb0.15Te1.15Ge0.85,Single crystal,Melted,166.0,0.00121347,199.03,0.0032646,1.384355066,1.65073,824.08,700.0,http://dx.doi.org/10.1201/9781420049718.ch22
499,Nd2Cu0.98Ni0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.0229546,-82.67,2.9774e-05,0.007630344,3.902,43.564,1000.0,http://dx.doi.org/10.1002/chin.200318015
500,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.0834071,-320.53,0.00012318,0.058867739,2.09242,11.989,1000.0,http://dx.doi.org/10.1063/1.2362922
501,Ca0.9Sb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.115283742,-70.9189,4.3627e-06,,,8.6743,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
502,In1.94Ge0.06O3,Polycrystalline,Solid state reaction,206.0,0.00177828,-114.967,0.00074327,0.242663763,3.06296,562.34,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
503,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.001318257,-174.827,0.0023186,0.02016133,34.5,689.7,300.0,http://dx.doi.org/10.1039/A602506D
504,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0150295,-128.468,0.00010981,,,66.536,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
505,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.005623413,-154.022,0.00042186,0.002844301,44.495,154.63,300.0,http://dx.doi.org/10.1039/A602506D
506,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.00616595,-190.595,0.00058915,0.007800677,30.21,148.68,400.0,http://dx.doi.org/10.1039/A602506D
507,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00196,115.0,0.00067474,,,510.2,400.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
508,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0125,-130.04,0.00013527,0.060406906,2.23936,80.0,1000.0,http://dx.doi.org/10.1063/1.2362922
509,Ca4.75Na0.25Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.00733,200.8,0.00055008,0.469577879,0.82,136.43,700.0,http://dx.doi.org/10.1002/adfm.201000970
510,Ca0.9La0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.007963495,-93.0096,0.00010863,,,125.57,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
511,Li0.0184Ni0.9816O,Polycrystalline,Solid state reaction,225.0,0.019804922,97.88,4.8375e-05,,,50.493,700.0,http://dx.doi.org/10.1143/JJAP.38.L1336
512,ZnO,Polycrystalline,Solid state reaction,186.0,181.5432057,-501.65,1.3862e-07,0.0,10.7741,0.0055083,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
513,Mg2Si0.6Ge0.4Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00544,224.0,0.00092235,0.265043949,3.48,183.82,1000.0,http://dx.doi.org/10.1007/s11664-009-0735-1
514,Sr0.61Ba0.39Nb2O6,Polycrystalline,"Templated grain growth, air, anneal P(O2) = 10$^{-14}$",100.0,0.061881188,-220.0,7.8214e-05,0.014075777,1.667,16.16,300.0,http://dx.doi.org/10.1557/jmr.2010.78
515,Ca0.9Ce0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.006657302,-59.9632,5.401e-05,,,150.21,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
516,Ba8Ga16Ge30,Single crystal,"Czochralski method, He",223.0,0.00171,-141.98,0.0011788,0.736780716,1.6,584.8,1000.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
517,Zr0.4Hf0.4Ti0.2NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00176663,-276.689,0.0043335,0.949138206,3.196,566.05,700.0,http://dx.doi.org/10.1063/1.1868063
518,Zr0.25Hf0.25Ti0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00338128,-329.939,0.0032195,0.4288356,3.003,295.75,400.0,http://dx.doi.org/10.1063/1.1868063
519,Nd2Ru2O7,Polycrystalline,Solid state reaction,227.0,0.017,22.7,3.0311e-06,,,58.824,700.0,
520,Si0.79936Ge0.19984B0.0008,Polycrystalline,Vacuum hot pressed,227.0,0.0015184,151.36,0.0015088,0.145604448,4.14497,658.59,400.0,http://dx.doi.org/10.1063/1.348408
521,Ni2.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000618269,8.26675,1.1053e-05,0.001935215,1.7135,1617.4,300.0,http://dx.doi.org/10.1007/s11664-009-0975-0
522,CuRh0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.0488,315.0,0.00020333,,,20.492,1000.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
523,CaYb0.1Mn0.9O3,Polycrystalline,Solid state reaction,62.0,0.00389918,-52.8011,7.1501e-05,0.012433026,1.72527,256.46,300.0,http://dx.doi.org/10.1109/ICT.2006.331291
524,Ca2.7Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.007831,196.8,0.00049458,0.241256545,2.05,127.7,1000.0,http://dx.doi.org/10.1063/1.1480115
525,Cu4.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.00217885,132.993,0.00081176,0.39819721,2.0386,458.96,1000.0,http://dx.doi.org/10.1007/s11664-009-0975-0
526,Fe0.978Co0.00196Si1.96Y0.12O0.18,Polycrystalline,"Arc-melted, Ar",64.0,0.27,-226.0,1.8917e-05,0.001984305,2.86,3.7037,300.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
527,Ca2.7Na0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.007283,184.0,0.00046486,0.226762625,2.05,137.31,1000.0,http://dx.doi.org/10.1063/1.1480115
528,Ca3Co4O9,Single crystal,"Flux (SrCl2), air",12.0,0.002313,197.0,0.0016779,0.372858721,3.15,432.34,700.0,http://link.aip.org/link/doi/10.1063/1.1562337
529,Y2Ru2O7,Polycrystalline,Solid state reaction,227.0,0.284067795,21.92,1.6908e-07,,,3.4646,700.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
530,Fe0.978Co0.00196Si1.96Y0.04O0.06,Polycrystalline,"Arc-melted, Ar",64.0,0.0122,-100.8,8.3284e-05,0.019782407,4.21,81.967,1000.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
531,CeFe2Co2Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00385,154.0,0.000616,,,259.74,400.0,http://dx.doi.org/10.1109/ICT.1996.553263
532,CeFe3.5Co0.5Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.000893,87.2,0.00085149,0.10643673,2.4,1119.8,300.0,http://dx.doi.org/10.1109/ICT.1996.553263
533,CeFe2.5Co1.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00287783,123.077,0.00052637,,,347.48,400.0,http://www.jstor.org/stable/2889796
534,Ca3Co4O9,Single crystal,"Flux (SrCl2), air",12.0,0.001971,125.5,0.0007991,0.068299098,3.51,507.36,300.0,http://link.aip.org/link/doi/10.1063/1.1562337
535,Nd2Ru2O7,Polycrystalline,Ultrasonic spray pyrolysis,227.0,0.031,22.0,1.5613e-06,,,32.258,700.0,
536,Ca0.96Sm0.04MnO3,Polycrystalline,Co-precipitation,62.0,0.00603672,-139.46,0.00032218,,,165.65,400.0,http://dx.doi.org/10.1109/ICT.2007.4569450
537,Ba8Ga16Si30,Polycrystalline,"Melted, Ar",223.0,0.00187,-111.0,0.00065888,,,534.76,700.0,http://dx.doi.org/10.1109/ICT.1999.843362
538,Sr0.61Ba0.39Nb2O6,Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,0.0014,-201.0,0.0028858,0.930169913,2.1717,714.29,700.0,http://dx.doi.org/10.1063/1.3291563
539,Na0.02Pb0.98Te0.75Se0.25,Polycrystalline,Melted,225.0,0.00198264,197.0,0.0019574,1.636067789,1.19643,504.38,1000.0,http://dx.doi.org/10.1038/nature09996
540,CeFe4Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.000886,127.0,0.0018204,0.748267895,1.703,1128.7,700.0,http://dx.doi.org/10.1109/ICT.1996.553263
541,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.110571194,-406.81,0.00014967,0.089158798,1.67874,9.0439,1000.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
542,Tl2Cu2SnTe4,Polycrystalline,"Solid state reaction, vacuum",121.0,130.0,345.0,9.1558e-08,7.28576e-05,0.377,0.0076923,300.0,http://dx.doi.org/10.1021/cm050412c
543,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.00328897,191.811,0.0011186,1.044056216,0.75,304.05,700.0,http://dx.doi.org/10.1039/c0jm02011g
544,Ca0.9Y0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.015859246,-102.587,6.6359e-05,,,63.055,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
545,LiMn2O4,Polycrystalline,Solid state reaction (oxalates),227.0,1886.12,-175.031,1.6243e-09,,,0.00053019,300.0,http://dx.doi.org/10.1039/c2jm16297k
546,In1.985Ge0.015O3,Polycrystalline,Solid state reaction,206.0,0.000722981,-46.7607,0.00030244,0.009632278,9.41949,1383.2,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
547,Ca0.7Tb0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00549942,-44.36,3.5775e-05,0.00976228,1.465854004,181.84,400.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
548,Ca0.92La0.08MnO3,Polycrystalline,Solid state reaction,62.0,0.015706625,-140.88,0.00012635,,,63.667,1000.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
549,CeFe4Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00130209,128.846,0.001275,,,768.0,700.0,http://www.jstor.org/stable/2889796
550,CuRh0.6Mg0.4O2,Polycrystalline,"Solid state reaction, air",166.0,0.00408,168.2,0.00069341,,,245.1,1000.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
551,La1.85Sr0.15CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.00148762,20.0,2.6889e-05,,,672.21,400.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
552,CaMn6.5Cu0.5O12,Polycrystalline,"Solid state reaction, air",194.0,0.172634,9.29006,4.9993e-08,,,5.7926,400.0,http://dx.doi.org/10.1063/1.1687532
553,CaMn0.98Nb0.02O3,Polycrystalline,Ultrasonic spray pyrolysis,62.0,0.02,-180.0,0.000162,0.01944,2.5,50.0,300.0,http://dx.doi.org/10.1557/jmr.2011.140
554,Si0.9Ge0.1,Nanoparticles,,227.0,0.00302,242.0,0.0019392,,,331.13,700.0,Personal communication
555,Zr0.5Hf0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00625721,-208.592,0.00069537,0.078795216,3.53,159.82,400.0,http://dx.doi.org/10.1063/1.1868063
556,SrNb0.15Ti0.85O3,Polycrystalline,"Solid state reaction, Ar",221.0,0.024425631,-176.694,0.00012782,0.041526869,3.078,40.941,1000.0,http://dx.doi.org/10.1016/j.jallcom.2010.06.195
557,Fe1.96Ti0.04O3,Polycrystalline,"Solid state reaction, air",2.0,0.09422584,-322.97,0.0001107,0.016487796,4.7,106130.0,700.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
558,CuCr0.98Mg0.02O2,Polycrystalline,Solid state reaction,166.0,0.196666,300.0,4.5763e-05,,,5.0848,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
559,Yb14MnSb11,Single crystal,"Flux (Sn), Ar",142.0,0.00232311,68.7334,0.00020336,0.096379224,0.844,430.46,400.0,http://dx.doi.org/10.1021/cm060261t
560,Mg2Si0.995Bi0.005,Polycrystalline,"Mechanochemical, Ar",225.0,0.000369,-67.7,0.0012421,0.056889344,6.55,2710.0,300.0,http://dx.doi.org/10.1039/C1JM10827A
561,Si0.8Ge0.2,Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,0.001787074,191.49,0.0020519,0.55966257,2.56641,559.57,700.0,http://dx.doi.org/10.1021/nl8026795
562,Ca0.98La0.02MnO3,Polycrystalline,Solid state reaction,62.0,0.041084466,-190.18,8.8035e-05,,,24.34,1000.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
563,Fe1.98Ti0.02O3,Polycrystalline,"Solid state reaction, air",2.0,0.179726815,-370.39,7.6333e-05,,,55640.0,700.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
564,La3Te3.35Sb0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00135,-89.9,0.00059867,0.176078649,1.36,740.74,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
565,Zr0.25Hf0.25Ti0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00163327,-328.251,0.0065971,1.419170654,3.254,612.27,700.0,http://dx.doi.org/10.1063/1.1868063
566,Na0.02Pb0.98Te,Polycrystalline,Melted,225.0,0.000368595,62.38,0.0010557,0.079250912,3.99643,2713.0,300.0,http://dx.doi.org/10.1038/nature09996
567,Nd1.4Bi0.6Ru2O7,Polycrystalline,Solid state reaction,227.0,0.00175816,23.09,3.0321e-05,,,568.78,400.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
568,CaYb0.05Mn0.95O3,Polycrystalline,Solid state reaction,62.0,0.0155708,-168.417,0.00018216,0.079617332,1.60159,64.223,700.0,http://dx.doi.org/10.1109/ICT.2006.331291
569,CeFe2Co2Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00481344,134.608,0.00037643,,,207.75,400.0,http://www.jstor.org/stable/2889796
570,In1.994Ge0.006O3,Polycrystalline,Solid state reaction,206.0,0.00168341,-119.305,0.00084553,0.242294205,3.48967,594.03,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
